"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Michoacán","Secundaria",12721,1360,"2005-2006"
"Michoacán","Media superior",7707,344,"2005-2006"
"Michoacán","Superior",6119,154,"2005-2006"
"Morelos","Preescolar",2611,992,"2005-2006"
"Morelos","Primaria",7427,1027,"2005-2006"
"Morelos","Secundaria",4797,407,"2005-2006"
"Morelos","Media superior",5094,296,"2005-2006"
"Morelos","Superior",4709,112,"2005-2006"
"Nayarit","Preescolar",1839,1003,"2005-2006"
"Nayarit","Primaria",5654,1164,"2005-2006"
"Nayarit","Secundaria",4754,502,"2005-2006"
"Nayarit","Media superior",2512,219,"2005-2006"
"Nayarit","Superior",2151,50,"2005-2006"
"Nuevo León","Preescolar",8343,2647,"2005-2006"
"Nuevo León","Primaria",19450,2567,"2005-2006"
"Nuevo León","Secundaria",13771,821,"2005-2006"
"Nuevo León","Media superior",9327,409,"2005-2006"
"Nuevo León","Superior",10810,211,"2005-2006"
"Oaxaca","Preescolar",8504,4147,"2005-2006"
"Oaxaca","Primaria",26847,5612,"2005-2006"
"Oaxaca","Secundaria",11781,1872,"2005-2006"
"Oaxaca","Media superior",6684,561,"2005-2006"
"Oaxaca","Superior",4557,101,"2005-2006"
"Puebla","Preescolar",10511,4555,"2005-2006"
"Puebla","Primaria",27099,4491,"2005-2006"
"Puebla","Secundaria",17217,1991,"2005-2006"
"Puebla","Media superior",13808,1188,"2005-2006"
"Puebla","Superior",15407,424,"2005-2006"
"Querétaro","Preescolar",3313,1435,"2005-2006"
"Querétaro","Primaria",7552,1413,"2005-2006"
"Querétaro","Secundaria",4385,445,"2005-2006"
"Querétaro","Media superior",3818,200,"2005-2006"
"Querétaro","Superior",4379,82,"2005-2006"
"Quintana Roo","Preescolar",1584,561,"2005-2006"
"Quintana Roo","Primaria",5207,746,"2005-2006"
"Quintana Roo","Secundaria",3961,296,"2005-2006"
"Quintana Roo","Media superior",2471,119,"2005-2006"
"Quintana Roo","Superior",2226,44,"2005-2006"
"San Luis Potosí","Preescolar",5945,2896,"2005-2006"
"San Luis Potosí","Primaria",14580,3455,"2005-2006"
"San Luis Potosí","Secundaria",10112,1526,"2005-2006"
"San Luis Potosí","Media superior",5844,408,"2005-2006"
"San Luis Potosí","Superior",4908,103,"2005-2006"
"Sinaloa","Preescolar",4810,2346,"2005-2006"
"Sinaloa","Primaria",13678,2790,"2005-2006"
"Sinaloa","Secundaria",10700,788,"2005-2006"
"Sinaloa","Media superior",7350,334,"2005-2006"
"Sinaloa","Superior",6351,151,"2005-2006"
"Sonora","Preescolar",3865,1474,"2005-2006"
"Sonora","Primaria",11899,1796,"2005-2006"
